"_col0","cole_depto_ubicacion"
"254.27346293368058","VALLE"
"248.3397014925373","ATLANTICO"
"247.38863705046842","ARAUCA"
"251.28338034165293","NARIÑO"
"217.14397905759162","VAUPES"
"250.73563038371182","CASANARE"
"220.81334841628959","AMAZONAS"
"253.35414149550274","QUINDIO"
"274.3559978705785","BOGOTA"
"260.0635066385408","CUNDINAMARCA"
"267.8490474339036","BOGOTÁ"
"256.8228205128205","RISARALDA"
"257.01049242875877","NORTE SANTANDER"
"235.95723294000126","CAUCA"
"233.79012435991223","BOLIVAR"
"263.9364885834626","BOYACA"
"235.29761904761904","GUAINIA"
"239.28708423326134","SUCRE"
"242.2191116898148","CESAR"
"245.11131857872482","TOLIMA"
,""
"238.9324821467215","CAQUETA"
"252.28904640237369","CALDAS"
"231.5732959850607","GUAVIARE"
"230.86930693069306","VICHADA"
"248.93233818364274","ANTIOQUIA"
"242.13880126182966","SAN ANDRES"
"227.81602054835435","MAGDALENA"
"252.02173056722688","HUILA"
"263.9522631709127","SANTANDER"
"212.56738804371116","CHOCO"
"226.43938132064247","LA GUAJIRA"
"253.38369322984707","META"
"240.5739038866552","CORDOBA"
"241.6945080091533","PUTUMAYO"
,
